year,journal,title,doi
2024,CGF,DynTrix: A Hybrid Representation for Dynamic Graphs,10.1111/cgf.15076
2024,CGF,An Experimental Evaluation of Viewpoint-Based 3D Graph Drawing,10.1111/cgf.15077
2024,CGF,ProtEGOnist: Visual Analysis of Interactions in Small World Networks Using Ego-graphs,10.1111/cgf.15078
2024,CGF,Exploring the Design Space of BioFabric Visualization for Multivariate Network Analysis,10.1111/cgf.15079
2024,CGF,InverseVis: Revealing the Hidden with Curved Sphere Tracing,10.1111/cgf.15080
2024,CGF,Instantaneous Visual Analysis of Blood Flow in Stenoses Using Morphological Similarity,10.1111/cgf.15081
2024,CGF,Sparse q-ball imaging towards efficient visual exploration of HARDI data,10.1111/cgf.15082
2024,CGF,Depth for Multi-Modal Contour Ensembles,10.1111/cgf.15083
2024,CGF,Topological Characterization and Uncertainty Visualization of Atmospheric Rivers,10.1111/cgf.15084
2024,CGF,CAN: Concept-aligned Neurons for Visual Comparison of Neural Networks,10.1111/cgf.15085
2024,CGF,CUPID: Contextual Understanding of Prompt-conditioned Image Distributions,10.1111/cgf.15086
2024,CGF,Improving Temporal Treemaps by Minimizing Crossings,10.1111/cgf.15087
2024,CGF,Antarstick: Extracting Snow Height From Time-Lapse Photography,10.1111/cgf.15088
2024,CGF,Generating Euler Diagrams Through Combinatorial Optimization,10.1111/cgf.15089
2024,CGF,Interactive Optimization for Cartographic Aggregation of Building Features,10.1111/cgf.15090
2024,CGF,RouteVis: Quantitative Visual Analytics of Various Factors to Understand Route Choice Preferences,10.1111/cgf.15091
2024,CGF,Persist: Persistent and Reusable Interactions in Computational Notebooks,10.1111/cgf.15092
2024,CGF,AVA: Towards Autonomous Visualization Agents through Visual Perception-Driven Decision-Making,10.1111/cgf.15093
2024,CGF,Transparent Risks: The Impact of the Specificity and Visual Encoding of Uncertainty on Decision Making,10.1111/cgf.15094
2024,CGF,Beyond ExaBricks: GPU Volume Path Tracing of AMR Data,10.1111/cgf.15095
2024,CGF,Transmittance-based Extinction and Viewpoint Optimization,10.1111/cgf.15096
2024,CGF,A Prediction-Traversal Approach for Compressing Scientific Data on Unstructured Meshes with Bounded Error,10.1111/cgf.15097
2024,CGF,Visual Analytics for Fine-grained Text Classification Models and Datasets,10.1111/cgf.15098
2024,CGF,AutoVizuA11y: A Tool to Automate Screen Reader Accessibility in Charts,10.1111/cgf.15099
2024,CGF,"From Delays to Densities: Exploring Data Uncertainty through Speech, Text, and Visualization",10.1111/cgf.15100
2024,CGF,GerontoVis: Data Visualization at the Confluence of Aging,10.1111/cgf.15101
2024,CGF,Should I make it round? Suitability of circular and linear layouts for comparative tasks with matrix and connective data,10.1111/cgf.15102
2024,CGF,psudo: Exploring Multi-Channel Biomedical Image Data with Spatially and Perceptually Optimized Pseudocoloring,10.1111/cgf.15103
2024,CGF,ChoreoVis: Planning and Assessing Formations in Dance Choreographies,10.1111/cgf.15104
2024,CGF,Visual Highlighting for Situated Brushing and Linking,10.1111/cgf.15105
2024,CGF,Investigating the Effect of Operation Mode and Manifestation on Physicalizations of Dynamic Processes,10.1111/cgf.15106
2024,CGF,"Deconstructing Human-AI Collaboration: Agency, Interaction, and Adaptation",10.1111/cgf.15107
2024,CGF,HORA 3D: Personalized Flood Risk Visualization as an Interactive Web Service,10.1111/cgf.15110
2024,CGF,"Guided By AI: Navigating Trust, Bias, and Data Exploration in AI-Guided Visual Analytics",10.1111/cgf.15108
2024,CGF,Exploring Classifiers with Differentiable Decision Boundary Maps,10.1111/cgf.15109
2024,CGF,A Systematic Literature Review of User Evaluation in Immersive Analytics,10.1111/cgf.15111
2024,CGF,Open Your Ears and Take a Look: A State-of-the-Art Report on the Integration of Sonification and Visualization,10.1111/cgf.15114
2024,CGF,State of the Art of Graph Visualization in non-Euclidean Spaces,10.1111/cgf.15113
2024,CGF,The State of the Art in Visual Analytics for 3D Urban Data,10.1111/cgf.15112
2025,CGF,NODKANT: Exploring Constructive Network Physicalization,10.1111/cgf.70140
2025,CGF,Gridded Visualization of Statistical Trees for High-Dimensional Multipartite Data in Systems Genetics,10.1111/cgf.70113
2025,CGF,Optimizing Staircase Motifs in Biofabric Network Layouts,10.1111/cgf.70139
2025,CGF,HyperFLINT: Hypernetwork-based Flow Estimation and Temporal Interpolation for Scientific Ensemble Visualization,10.1111/cgf.70134
