year,journal,title,doi,doi link
2010,CGA,Verifying Scientific Simulations via Comparative and Quantitative Visualization,10.1109/MCG.2010.100,https://doi.org/10.1109/MCG.2010.100
2010,CGA,Advanced Volume Illumination with Unconstrained Light Source Positioning,10.1109/MCG.2010.98,https://doi.org/10.1109/MCG.2010.98
2010,CGA,"Context-Preserving, Dynamic Word Cloud Visualization",10.1109/MCG.2010.102,https://doi.org/10.1109/MCG.2010.102
2010,CGA,Visualizing Graphs and Clusters as Maps,10.1109/MCG.2010.101,https://doi.org/10.1109/MCG.2010.101
2010,TVCG,Visualization of High-Dimensional Point Clouds Using Their Density Distribution’s Topology,10.1109/TVCG.2011.27,https://doi.org/10.1109/TVCG.2011.27
2010,TVCG,Efficient Volume Exploration Using the Gaussian Mixture Model,10.1109/TVCG.2011.97,https://doi.org/10.1109/TVCG.2011.97
2010,TVCG,Physically-Based Interactive Flow Visualization Based on Schlieren and Interferometry Experimental Techniques,10.1109/TVCG.2010.255,https://doi.org/10.1109/TVCG.2010.255
2010,TVCG,"Visual Analysis of Large Graphs Using (X,Y)-Clustering and Hybrid Visualizations",10.1109/TVCG.2010.265,https://doi.org/10.1109/TVCG.2010.265
2011,TVCG,Flow Visualization with Quantified Spatial and Temporal Errors Using Edge Maps,10.1109/TVCG.2011.265,https://doi.org/10.1109/TVCG.2011.265
2011,TVCG,Scalable Multivariate Volume Visualization and Analysis Based on Dimension Projection and Parallel Coordinates,10.1109/TVCG.2012.80,https://doi.org/10.1109/TVCG.2012.80
2011,TVCG,WORDGRAPH: Keywordin-Context Visualization for NETSPEAK's Wildcard Search,10.1109/TVCG.2012.96,https://doi.org/10.1109/TVCG.2012.96
2011,TVCG,Visualizing Dynamic Data with Maps,10.1109/TVCG.2011.288,https://doi.org/10.1109/TVCG.2011.288
2012,TVCG,Visual Analysis of Cardiac 4D MRI Blood Flow Using Line Predicates,10.1109/TVCG.2012.318,https://doi.org/10.1109/TVCG.2012.318
2012,TVCG,Ambient Occlusion Effects for Combined Volumes and Tubular Geometry,10.1109/TVCG.2012.306,https://doi.org/10.1109/TVCG.2012.306
2012,TVCG,A Maxent-Stress Model for Graph Layout,10.1109/TVCG.2012.299,https://doi.org/10.1109/TVCG.2012.299
2013,TVCG,Dynamic Network Visualization with Extended Massive Sequence Views,10.1109/TVCG.2013.263,https://doi.org/10.1109/TVCG.2013.263
2013,TVCG,Joint Contour Nets,10.1109/TVCG.2013.269,https://doi.org/10.1109/TVCG.2013.269
2013,TVCG,Ovis: A Framework for Visual Analysis of Ocean Forecast Ensembles,10.1109/TVCG.2014.2307892,https://doi.org/10.1109/TVCG.2014.2307892
2013,TVCG,A Graph-Based Interface for Visual Analytics of 3D Streamline and Pathlines,10.1109/TVCG.2013.236,https://doi.org/10.1109/TVCG.2013.236
2013,TVCG,Bundled Visualizations of Dynamic Graph and Trail Data,10.1109/TVCG.2013.246,https://doi.org/10.1109/TVCG.2013.246
2014,TVCG,Exploring Curved Schematization of Territorial Outlines,10.1109/TVCG.2015.2401025,https://doi.org/10.1109/TVCG.2015.2401025
2014,TVCG,Semantic Enrichment of Movement Behavior with Foursquare – A Visual Analytics Approach,10.1109/TVCG.2014.2371856,https://doi.org/10.1109/TVCG.2014.2371856
2014,TVCG,Moment Invariants for 2D Flow Fields via Normalization in Detail,10.1109/TVCG.2014.2369036,https://doi.org/10.1109/TVCG.2014.2369036
2014,TVCG,Robustness-Based Simplification of 2D Steady and Unsteady Vector Fields,10.1109/TVCG.2015.2440250,https://doi.org/10.1109/TVCG.2015.2440250
2015,TVCG,View-Dependent Streamline Deformation and Exploration,10.1109/TVCG.2015.2502583,https://doi.org/10.1109/TVCG.2015.2502583
2015,TVCG,"A Study of Layout, Rendering, and Interaction Methods for Immersive Graph Visualization",10.1109/TVCG.2016.2520921,https://doi.org/10.1109/TVCG.2016.2520921
2015,TVCG,Can Twitter Save Lives? A Broad-scale Study on Visual Social Media Analytics for Public Safety,10.1109/TVCG.2015.2511733,https://doi.org/10.1109/TVCG.2015.2511733
2016,TVCG,PieceStack: Toward Better Understanding of Stacked Graphs,10.1109/TVCG.2016.2534518,https://doi.org/10.1109/TVCG.2016.2534518
2016,TVCG,Minimizing the Number of Edges via Edge Concentration in Dense Layered Graphs,10.1109/TVCG.2016.2534519,https://doi.org/10.1109/TVCG.2016.2534519
2016,TVCG,Adaptive Disentanglement based on Local Clustering in Small-World Network Visualization,10.1109/TVCG.2016.2534559,https://doi.org/10.1109/TVCG.2016.2534559
2016,TVCG,Finite-Time Lyapunov Exponents and Lagrangian Coherent Structures in Uncertain Unsteady Flows,10.1109/TVCG.2016.2534560,https://doi.org/10.1109/TVCG.2016.2534560
2016,TVCG,Critical Point Cancellation in 3D Vector Fields: Robustness and Discussion,10.1109/TVCG.2016.2534538,https://doi.org/10.1109/TVCG.2016.2534538
2016,TVCG,Visual Analysis of Cloud Computing Performance Using Behavioral Lines,10.1109/TVCG.2016.2534558,https://doi.org/10.1109/TVCG.2016.2534558
2017,TVCG,Word-Sized Graphics for Scientific Texts,10.1109/TVCG.2017.2674958,https://doi.org/10.1109/TVCG.2017.2674958
2017,TVCG,Towards Perceptual Optimization of the Visual Design of Scatterplots,10.1109/TVCG.2017.2674978,https://doi.org/10.1109/TVCG.2017.2674978
2017,TVCG,Proxy Graph: Visual Quality Metrics of Big Graph Sampling,10.1109/TVCG.2017.2674999,https://doi.org/10.1109/TVCG.2017.2674999
2017,TVCG,Placenta Maps: In Utero Placental Health Assessment of the Human Fetus,10.1109/TVCG.2017.2674938,https://doi.org/10.1109/TVCG.2017.2674938
2017,TVCG,Spatio-temporal Feature Exploration in Combined Particle/Volume Reference Frames,10.1109/TVCG.2017.2674918,https://doi.org/10.1109/TVCG.2017.2674918
2018,TVCG,Visual Interactive Map Matching,10.1109/TVCG.2018.2816219,https://doi.org/10.1109/TVCG.2018.2816219
2018,TVCG,Predominance Tag Maps,10.1109/TVCG.2018.2816208,https://doi.org/10.1109/TVCG.2018.2816208
2018,TVCG,GANViz: A Visual Analytics Approach to Understand the Adversarial Game,10.1109/TVCG.2018.2816223,https://doi.org/10.1109/TVCG.2018.2816223
2018,TVCG,MeetingVis: Visual Narratives to Assist in Recalling Meeting Context and Content,10.1109/TVCG.2018.2816203,https://doi.org/10.1109/TVCG.2018.2816203
2019,TVCG,Comparison of Projective Augmented Reality Concepts to Support Medical Needle Placement,10.1109/TVCG.2019.2903942,https://doi.org/10.1109/TVCG.2019.2903942
2019,TVCG,DeepVID: Deep Visual Interpretation and Diagnosis for Image Classifiers via Knowledge Distillation,10.1109/TVCG.2019.2903943,https://doi.org/10.1109/TVCG.2019.2903943
2019,TVCG,Visual Exploration of Neural Document Embedding in Information Retrieval: Semantics and Feature Selection,10.1109/TVCG.2019.2903946,https://doi.org/10.1109/TVCG.2019.2903946
2019,TVCG,Stippling of 2D Scalar Fields,10.1109/TVCG.2019.2903945,https://doi.org/10.1109/TVCG.2019.2903945
2019,TVCG,Relaxing Dense Scatter Plots with Pixel-Based Mappings,10.1109/TVCG.2019.2903956,https://doi.org/10.1109/TVCG.2019.2903956
2020,TVCG,Modeling How Humans Judge Dot-Label Relations in Point Cloud Visualizations,10.1109/TVCG.2020.2970509,https://doi.org/10.1109/TVCG.2020.2970509
2020,TVCG,Photographic High-Dynamic-Range Scalar Visualization,10.1109/TVCG.2020.2970522,https://doi.org/10.1109/TVCG.2020.2970522
2020,TVCG,Touch? Speech? Or Touch and Speech? Investigating Multimodal Interaction for Visual Network Exploration and Analysis,10.1109/TVCG.2020.2970512,https://doi.org/10.1109/TVCG.2020.2970512
2020,TVCG,The Sprawlter Graph Readability Metric: Combining Sprawl and Area-aware Clutter,10.1109/TVCG.2020.2970523,https://doi.org/10.1109/TVCG.2020.2970523
