"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Affective Visualization Design: Leveraging the Emotional Impact of Data","X. Lan; Y. Wu; N. Cao","Fudan University, Research Group of Computational and AI Communication at Institute for Global Communications and Integrated Media, China; Intelligent Big Data Visualization Lab, Tongji University, China; Intelligent Big Data Visualization Lab, Tongji University, China","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","1","11","In recent years, more and more researchers have reflected on the undervaluation of emotion in data visualization and highlighted the importance of considering human emotion in visualization design. Meanwhile, an increasing number of studies have been conducted to explore emotion-related factors. However, so far, this research area is still in its early stages and faces a set of challenges, such as the unclear definition of key concepts, the insufficient justification of why emotion is important in visualization design, and the lack of characterization of the design space of affective visualization design. To address these challenges, first, we conducted a literature review and identified three research lines that examined both emotion and data visualization. We clarified the differences between these research lines and kept 109 papers that studied or discussed how data visualization communicates and influences emotion. Then, we coded the 109 papers in terms of how they justified the legitimacy of considering emotion in visualization design (i.e., why emotion is important) and identified five argumentative perspectives. Based on these papers, we also identified 61 projects that practiced affective visualization design. We coded these design projects in three dimensions, including design fields (where), design tasks (what), and design methods (how), to explore the design space of affective visualization design.","1941-0506","","10.1109/TVCG.2023.3327385","NSFC(grant numbers:62072338); NSF(grant numbers:20ZR1461500); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10301796","Information Visualization;Affective Design;Visual Communication;User Experience;Storytelling","Data visualization;Image color analysis;Task analysis;Systematics;Faces;Visual analytics;Space exploration","Humans;Computer Graphics;Emotions","","","96","IEEE","30 Oct 2023","","","IEEE","IEEE Journals"
"Fast Compressed Segmentation Volumes for Scientific Visualization","M. Piochowiak; C. Dachsbacher","Karlsruhe Institute of Technology, Germany; Karlsruhe Institute of Technology, Germany","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","12","22","Voxel-based segmentation volumes often store a large number of labels and voxels, and the resulting amount of data can make storage, transfer, and interactive visualization difficult. We present a lossless compression technique which addresses these challenges. It processes individual small bricks of a segmentation volume and compactly encodes the labelled regions and their boundaries by an iterative refinement scheme. The result for each brick is a list of labels, and a sequence of operations to reconstruct the brick which is further compressed using rANS-entropy coding. As the relative frequencies of operations are very similar across bricks, the entropy coding can use global frequency tables for an entire data set which enables efficient and effective parallel (de)compression. Our technique achieves high throughput (up to gigabytes per second both for compression and decompression) and strong compression ratios of about 1% to 3% of the original data set size while being applicable to GPU-based rendering. We evaluate our method for various data sets from different fields and demonstrate GPU-based volume visualization with on-the-fly decompression, level-of-detail rendering (with optional on-demand streaming of detail coefficients to the GPU), and a caching strategy for decompressed bricks for further performance improvement.","1941-0506","","10.1109/TVCG.2023.3326573","Helmholtz Association (HGF); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10292793","Segmentation volumes;lossless compression;volume rendering","Rendering (computer graphics);Data visualization;Image coding;Decoding;Octrees;Image segmentation;Graphics processing units","","","","50","IEEE","23 Oct 2023","","","IEEE","IEEE Journals"
"Swaying the Public? Impacts of Election Forecast Visualizations on Emotion, Trust, and Intention in the 2022 U.S. Midterms","F. Yang; M. Cai; C. Mortenson; H. Fakhari; A. D. Lokmanoglu; J. Hullman; S. Franconeri; N. Diakopoulos; E. C. Nisbet; M. Kay","Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","23","33","We conducted a longitudinal study during the 2022 U.S. midterm elections, investigating the real-world impacts of uncertainty visualizations. Using our forecast model of the governor elections in 33 states, we created a website and deployed four uncertainty visualizations for the election forecasts: single quantile dotplot (1-Dotplot), dual quantile dotplots (2-Dotplot), dual histogram intervals (2-Interval), and Plinko quantile dotplot (Plinko), an animated design with a physical and probabilistic analogy. Our online experiment ran from Oct. 18, 2022, to Nov. 23, 2022, involving 1,327 participants from 15 states. We use Bayesian multilevel modeling and post-stratification to produce demographically-representative estimates of people's emotions, trust in forecasts, and political participation intention. We find that election forecast visualizations can heighten emotions, increase trust, and slightly affect people's intentions to participate in elections. 2-Interval shows the strongest effects across all measures; 1-Dotplot increases trust the most after elections. Both visualizations create emotional and trust gaps between different partisan identities, especially when a Republican candidate is predicted to win. Our qualitative analysis uncovers the complex political and social contexts of election forecast visualizations, showcasing that visualizations may provoke polarization. This intriguing interplay between visualization types, partisanship, and trust exemplifies the fundamental challenge of disentangling visualization from its context, underscoring a need for deeper investigation into the real-world impacts of visualizations. Our preprint and supplements are available at https://doi.org/osf.io/ajq8f.","1941-0506","","10.1109/TVCG.2023.3327356","NSF(grant numbers:IIS-2107490,IIS-1901485,IIS-2126598,2127309); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309864","Uncertainty visualization;Probabilistic forecasts;Elections;Emotions;Trust;Political participation;Longitudinal study","Voting;Visualization;Uncertainty;Predictive models;Probabilistic logic;Sociology;Journalism","Humans;Bayes Theorem;Computer Graphics;Emotions;Intention;Longitudinal Studies;Trust;Politics;Forecasting","","","92","IEEE","6 Nov 2023","","","IEEE","IEEE Journals"
"TimeSplines: Sketch-Based Authoring of Flexible and Idiosyncratic Timelines","A. Offenwanger; M. Brehmer; F. Chevalier; T. Tsandilas","Université Paris Saclay, CRNS, Inria, LISN, France; Tableau Research, USA; Departments of Computer Science and Statistical Sciences, University of Toronto, Canada; Université Paris Saclay, CRNS, Inria, LISN, France","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","34","44","Timelines are essential for visually communicating chronological narratives and reflecting on the personal and cultural significance of historical events. Existing visualization tools tend to support conventional linear representations, but fail to capture personal idiosyncratic conceptualizations of time. In response, we built TimeSplines, a visualization authoring tool that allows people to sketch multiple free-form temporal axes and populate them with heterogeneous, time-oriented data via incremental and lazy data binding. Authors can bend, compress, and expand temporal axes to emphasize or de-emphasize intervals based on their personal importance; they can also annotate the axes with text and figurative elements to convey contextual information. The results of two user studies show how people appropriate the concepts in TimeSplines to express their own conceptualization of time, while our curated gallery of images demonstrates the expressive potential of our approach.","1941-0506","","10.1109/TVCG.2023.3326520","CNRS; University of Toronto; French National Research Agency(grant numbers:ANR-21-CE33-0002 GLACIS); NSERC(grant numbers:RGPIN-2018-05072); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308646","Temporal Data;interaction design;communication / presentation;storytelling;sketch-based interface;lazy data binding","Data visualization;Shape;Annotations;Visualization;Spirals;Reflection;History","","","","79","IEEE","3 Nov 2023","","","IEEE","IEEE Journals"
"Visualization of Discontinuous Vector Field Topology","E. Miftari; D. Durstewitz; F. Sadlo","Heidelberg University, Germany; Heidelberg University, Germany; Heidelberg University, Germany","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","45","54","This paper extends the concept and the visualization of vector field topology to vector fields with discontinuities. We address the non-uniqueness of flow in such fields by introduction of a time-reversible concept of equivalence. This concept generalizes streamlines to streamsets and thus vector field topology to discontinuous vector fields in terms of invariant streamsets. We identify respective novel critical structures as well as their manifolds, investigate their interplay with traditional vector field topology, and detail the application and interpretation of our approach using specifically designed synthetic cases and a simulated case from physics.","1941-0506","","10.1109/TVCG.2023.3326519","Deutsche Forschungsgemeinschaft (DFG)(grant numbers:390900948,281071066); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10296524","Discontinuous vector field topology;equivalence in non-unique flow;non-smooth dynamical systems","Topology;Manifolds;Eigenvalues and eigenfunctions;Dynamical systems;Switches;Orbits;Behavioral sciences","","","","23","IEEE","25 Oct 2023","","","IEEE","IEEE Journals"
"Vortex Lens: Interactive Vortex Core Line Extraction using Observed Line Integral Convolution","P. Rautek; X. Zhang; B. Woschizka; T. Theußl; M. Hadwiger","King Abdullah University of Science and Technology (KAUST), Visual Computing Center, Thuwal, Saudi Arabia; King Abdullah University of Science and Technology (KAUST), Visual Computing Center, Thuwal, Saudi Arabia; King Abdullah Univ. of Sci. & Technol. (KAUST), Vis. Comput. Ctr., Thuwal, Saudi Arabia; Core Labs, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia; King Abdullah University of Science and Technology (KAUST), Visual Computing Center, Thuwal, Saudi Arabia","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","55","65","This paper describes a novel method for detecting and visualizing vortex structures in unsteady 2D fluid flows. The method is based on an interactive local reference frame estimation that minimizes the observed time derivative of the input flow field $\mathrm{v}(x, t)$. A locally optimal reference frame $\mathrm{w}(x, t)$ assists the user in the identification of physically observable vortex structures in Observed Line Integral Convolution (LIC) visualizations. The observed LIC visualizations are interactively computed and displayed in a user-steered vortex lens region, embedded in the context of a conventional LIC visualization outside the lens. The locally optimal reference frame is then used to detect observed critical points, where $\mathrm{v}=\mathrm{w}$, which are used to seed vortex core lines. Each vortex core line is computed as a solution of the ordinary differential equation (ODE) $\dot{w}(t)=\mathrm{w}(w(t), t)$, with an observed critical point as initial condition $(w(t_{0}), t_{0})$. During integration, we enforce a strict error bound on the difference between the extracted core line and the integration of a path line of the input vector field, i.e., a solution to the ODE $\dot{v}(t)=\mathrm{v}(v(t), t)$. We experimentally verify that this error depends on the step size of the core line integration. This ensures that our method extracts Lagrangian vortex core lines that are the simultaneous solution of both ODEs with a numerical error that is controllable by the integration step size. We show the usability of our method in the context of an interactive system using a lens metaphor, and evaluate the results in comparison to state-of-the-art vortex core line extraction methods.","1941-0506","","10.1109/TVCG.2023.3326915","King Abdullah University of Science and Technology (KAUST); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294201","Flow visualization;vortex detection;objectivity;observers;reference frames;Lie algebras;visual lens metaphors","Lenses;Visualization;Observers;Optimization;Convolution;Fluids;Linear programming","","","","53","IEEE","24 Oct 2023","","","IEEE","IEEE Journals"
"Guided Visual Analytics for Image Selection in Time and Space","I. Pérez-Messina; D. Ceneda; S. Miksch","TU Wien, Austria; TU Wien, Austria; TU Wien, Austria","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","66","75","Unexploded Ordnance (UXO) detection, the identification of remnant active bombs buried underground from archival aerial images, implies a complex workflow involving decision-making at each stage. An essential phase in UXO detection is the task of image selection, where a small subset of images must be chosen from archives to reconstruct an area of interest (AOI) and identify craters. The selected image set must comply with good spatial and temporal coverage over the AOI, particularly in the temporal vicinity of recorded aerial attacks, and do so with minimal images for resource optimization. This paper presents a guidance-enhanced visual analytics prototype to select images for UXO detection. In close collaboration with domain experts, our design process involved analyzing user tasks, eliciting expert knowledge, modeling quality metrics, and choosing appropriate guidance. We report on a user study with two real-world scenarios of image selection performed with and without guidance. Our solution was well-received and deemed highly usable. Through the lens of our task-based design and developed quality measures, we observed guidance-driven changes in user behavior and improved quality of analysis results. An expert evaluation of the study allowed us to improve our guidance-enhanced prototype further and discuss new possibilities for user-adaptive guidance.","1941-0506","","10.1109/TVCG.2023.3326572","Vienna Science and Technology Fund (WWTF)(grant numbers:10.47379/ICT19047); Austrian Science Fund (FWF)(grant numbers:P31419-N31); FFG(grant numbers:880883); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308619","Application Motivated Visualization;Geospatial Data;Mixed Initiative Human-Machine Analysis;Process/Workflow Design;Task Abstractions & Application Domains;Temporal Data","Task analysis;Decision making;Weapons;Optimization;Metadata;Image reconstruction;Prototypes","","","","37","CCBY","3 Nov 2023","","","IEEE","IEEE Journals"
"A Unified Interactive Model Evaluation for Classification, Object Detection, and Instance Segmentation in Computer Vision","C. Chen; Y. Guo; F. Tian; S. Liu; W. Yang; Z. Wang; J. Wu; H. Su; H. Pfister; S. Liu","School of Software, BNRist, Tsinghua University, China; School of Software, BNRist, Tsinghua University, China; School of Software, BNRist, Tsinghua University, China; Department of Computer Science and Technology, Tsinghua University, China; School of Software, BNRist, Tsinghua University, China; School of Software, BNRist, Tsinghua University, China; Cardiff University, United Kingdom; Department of Computer Science and Technology, Tsinghua University, China; Harvard University, United Kingdom; School of Software, BNRist, Tsinghua University, China","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","76","86","Existing model evaluation tools mainly focus on evaluating classification models, leaving a gap in evaluating more complex models, such as object detection. In this paper, we develop an open-source visual analysis tool, Uni-Evaluator, to support a unified model evaluation for classification, object detection, and instance segmentation in computer vision. The key idea behind our method is to formulate both discrete and continuous predictions in different tasks as unified probability distributions. Based on these distributions, we develop 1) a matrix-based visualization to provide an overview of model performance; 2) a table visualization to identify the problematic data subsets where the model performs poorly; 3) a grid visualization to display the samples of interest. These visualizations work together to facilitate the model evaluation from a global overview to individual samples. Two case studies demonstrate the effectiveness of Uni-Evaluator in evaluating model performance and making informed improvements.","1941-0506","","10.1109/TVCG.2023.3326588","National Natural Science Foundation of China(grant numbers:U21A20469,61936002,92248303); National Key R&D Program of China(grant numbers:2020YFB2104100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10297566","Model evaluation;computer vision;classification;object detection;instance segmentation","Computational modeling;Task analysis;Computer vision;Marine vehicles;Data visualization;Predictive models;Object detection","","","","69","IEEE","26 Oct 2023","","","IEEE","IEEE Journals"
"VideoPro: A Visual Analytics Approach for Interactive Video Programming","J. He; X. Wang; K. K. Wong; X. Huang; C. Chen; Z. Chen; F. Wang; M. Zhu; H. Qu","Hong Kong University of Science and Technology, Hong Kong, China; Hong Kong University of Science and Technology, Hong Kong, China; Hong Kong University of Science and Technology, Hong Kong, China; Hong Kong University of Science and Technology, Hong Kong, China; Tsinghua University, Beijing, China; Hong Kong University of Science and Technology, Hong Kong, China; Sichuang University, Chengdu, China; Sichuang University, Chengdu, China; Hong Kong University of Science and Technology, Hong Kong, China","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","87","97","Constructing supervised machine learning models for real-world video analysis require substantial labeled data, which is costly to acquire due to scarce domain expertise and laborious manual inspection. While data programming shows promise in generating labeled data at scale with user-defined labeling functions, the high dimensional and complex temporal information in videos poses additional challenges for effectively composing and evaluating labeling functions. In this paper, we propose VideoPro, a visual analytics approach to support flexible and scalable video data programming for model steering with reduced human effort. We first extract human-understandable events from videos using computer vision techniques and treat them as atomic components of labeling functions. We further propose a two-stage template mining algorithm that characterizes the sequential patterns of these events to serve as labeling function templates for efficient data labeling. The visual interface of VideoPro facilitates multifaceted exploration, examination, and application of the labeling templates, allowing for effective programming of video data at scale. Moreover, users can monitor the impact of programming on model performance and make informed adjustments during the iterative programming process. We demonstrate the efficiency and effectiveness of our approach with two case studies and expert interviews.","1941-0506","","10.1109/TVCG.2023.3326586","ITF PRP(grant numbers:PRP/001/21FX); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10292616","Interactive machine learning;data programming;video exploration and analysis","Labeling;Programming;Streaming media;Data models;Visual analytics;Task analysis;Semantics","","1","","83","IEEE","23 Oct 2023","","","IEEE","IEEE Journals"
"Character-Oriented Design for Visual Data Storytelling","K. Dasu; Y. -H. Kuo; K. -L. Ma","University of California, Davis, USA; University of California, Davis, USA; University of California, Davis, USA","IEEE Transactions on Visualization and Computer Graphics","25 Dec 2023","2024","30","1","98","108","When telling a data story, an author has an intention they seek to convey to an audience. This intention can be of many forms such as to persuade, to educate, to inform, or even to entertain. In addition to expressing their intention, the story plot must balance being consumable and enjoyable while preserving scientific integrity. In data stories, numerous methods have been identified for constructing and presenting a plot. However, there is an opportunity to expand how we think and create the visual elements that present the story. Stories are brought to life by characters; often they are what make a story captivating, enjoyable, memorable, and facilitate following the plot until the end. Through the analysis of 160 existing data stories, we systematically investigate and identify distinguishable features of characters in data stories, and we illustrate how they feed into the broader concept of “character-oriented design”. We identify the roles and visual representations data characters assume as well as the types of relationships these roles have with one another. We identify characteristics of antagonists as well as define conflict in data stories. We find the need for an identifiable central character that the audience latches on to in order to follow the narrative and identify their visual representations. We then illustrate “character-oriented design” by showing how to develop data characters with common data story plots. With this work, we present a framework for data characters derived from our analysis; we then offer our extension to the data storytelling process using character-oriented design. To access our supplemental materials please visit https://chaorientdesignds.github.io/.","1941-0506","","10.1109/TVCG.2023.3326578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10290935","Storytelling;Explanatory;Narrative visualization;Visual metaphor","Visualization;Data visualization;Organizations;Terminology;Task analysis;Media;Stars","","","","74","IEEE","23 Oct 2023","","","IEEE","IEEE Journals"
