"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Team-Scouter: Simulative Visual Analytics of Soccer Player Scouting","A. Cao; X. Xie; R. Zhang; Y. Tian; M. Fan; H. Zhang; Y. Wu","State Key Lab of CAD&CG, Zhejiang University, China; Department of Sports Science, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; Department of Sports Science, Zhejiang University, China; Department of Sports Science, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","1","11","In soccer, player scouting aims to find players suitable for a team to increase the winning chance in future matches. To scout suitable players, coaches and analysts need to consider whether the players will perform well in a new team, which is hard to learn directly from their historical performances. Match simulation methods have been introduced to scout players by estimating their expected contributions to a new team. However, they usually focus on the simulation of match results and hardly support interactive analysis to navigate potential target players and compare them in fine-grained simulated behaviors. In this work, we propose a visual analytics method to assist soccer player scouting based on match simulation. We construct a two-level match simulation framework for estimating both match results and player behaviors when a player comes to a new team. Based on the framework, we develop a visual analytics system, Team-Scouter, to facilitate the simulative-based soccer player scouting process through player navigation, comparison, and investigation. With our system, coaches and analysts can find potential players suitable for the team and compare them on historical and expected performances. For an in-depth investigation of the players' expected performances, the system provides a visual comparison between the simulated behaviors of the player and the actual ones. The usefulness and effectiveness of the system are demonstrated by two case studies on a real-world dataset and an expert interview.","1941-0506","","10.1109/TVCG.2024.3456216","Key “Pioneer” R&D Projects of Zhejiang Province(grant numbers:2023C01120); NSFC(grant numbers:U22A2032,62072400); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670523","Soccer Visualization;Player Scouting;Design Study","Sports;Navigation;Visual analytics;Data visualization;Recruitment;Pattern matching;Mathematical models","","","","68","IEEE","10 Sep 2024","","","IEEE","IEEE Journals"
"Sportify: Question Answering with Embedded Visualizations and Personified Narratives for Sports Video","C. Lee; T. Lin; H. Pfister; C. Zhu-Tian","John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, USA; John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, USA; John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, USA; CSE department, University of Minnesota, Minneapolis, MN, USA",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","12","22","As basketball's popularity surges, fans often find themselves confused and overwhelmed by the rapid game pace and complexity. Basketball tactics, involving a complex series of actions, require substantial knowledge to be fully understood. This complexity leads to a need for additional information and explanation, which can distract fans from the game. To tackle these challenges, we present Sportify, a Visual Question Answering system that integrates narratives and embedded visualization for demystifying basketball tactical questions, aiding fans in understanding various game aspects. We propose three novel action visualizations (i.e., Pass, Cut, and Screen) to demonstrate critical action sequences. To explain the reasoning and logic behind players' actions, we leverage a large-language model (LLM) to generate narratives. We adopt a storytelling approach for complex scenarios from both first and third-person perspectives, integrating action visualizations. We evaluated Sportify with basketball fans to investigate its impact on understanding of tactics, and how different personal perspectives of narratives impact the understanding of complex tactic with action visualizations. Our evaluation with basketball fans demonstrates Sportify's capability to deepen tactical insights and amplify the viewing experience. Furthermore, third-person narration assists people in getting in-depth game explanations while first-person narration enhances fans' game engagement.","1941-0506","","10.1109/TVCG.2024.3456332","NSF(grant numbers:IIS-1901030); NIH(grant numbers:IIS-1901030); NSF(grant numbers:III-2107328); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673998","Embedded Visualization;Narrative and storytelling;Basketball tactic;Question-answering (QA) system","Games;Visualization;Fans;Sports;Data visualization;Trajectory;Pipelines","","","","68","IEEE","10 Sep 2024","","","IEEE","IEEE Journals"
"Smartboard: Visual Exploration of Team Tactics with LLM Agent","Z. Liu; X. Xie; M. He; W. Zhao; Y. Wu; L. Cheng; H. Zhang; Y. Wu","Department of Sports Science, Zhejiang University, China; Department of Sports Science, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; Department of Sports Science, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","23","33","Tactics play an important role in team sports by guiding how players interact on the field. Both sports fans and experts have a demand for analyzing sports tactics. Existing approaches allow users to visually perceive the multivariate tactical effects. However, these approaches require users to experience a complex reasoning process to connect the multiple interactions within each tactic to the final tactical effect. In this work, we collaborate with basketball experts and propose a progressive approach to help users gain a deeper understanding of how each tactic works and customize tactics on demand. Users can progressively sketch on a tactic board, and a coach agent will simulate the possible actions in each step and present the simulation to users with facet visualizations. We develop an extensible framework that integrates large language models (LLMs) and visualizations to help users communicate with the coach agent with multimodal inputs. Based on the framework, we design and develop Smartboard, an agent-based interactive visualization system for fine-grained tactical analysis, especially for play design. Smartboard provides users with a structured process of setup, simulation, and evolution, allowing for iterative exploration of tactics based on specific personalized scenarios. We conduct case studies based on real-world basketball datasets to demonstrate the effectiveness and usefulness of our system.","1941-0506","","10.1109/TVCG.2024.3456200","“Pioneer” R&D Projects of Zhejiang Province(grant numbers:2023C01120); NSFC(grant numbers:U22A2032,62072400); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670515","Sports visualization;tactic board;tactical analysis","Sports;Data visualization;Videos;Interviews;Games;Cognition;Training","","","","74","IEEE","10 Sep 2024","","","IEEE","IEEE Journals"
"Who Let the Guards Out: Visual Support for Patrolling Games","M. Lang; A. Štěpánek; R. Zvara; V. Řehák; B. Kozlíková","Masaryk University, Czechia; Masaryk University, Czechia; Masaryk University, Czechia; Masaryk University, Czechia; Masaryk University, Czechia",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","34","43","Effective security patrol management is critical for ensuring safety in diverse environments such as art galleries, airports, and factories. The behavior of patrols in these situations can be modeled by patrolling games. They simulate the behavior of the patrol and adversary in the building, which is modeled as a graph of interconnected nodes representing rooms. The designers of algorithms solving the game face the problem of analyzing complex graph layouts with temporal dependencies. Therefore, appropriate visual support is crucial for them to work effectively. In this paper, we present a novel tool that helps the designers of patrolling games explore the outcomes of the proposed algorithms and approaches, evaluate their success rate, and propose modifications that can improve their solutions. Our tool offers an intuitive and interactive interface, featuring a detailed exploration of patrol routes and probabilities of taking them, simulation of patrols, and other requested features. In close collaboration with experts in designing patrolling games, we conducted three case studies demonstrating the usage and usefulness of our tool. The prototype of the tool, along with exemplary datasets, is available at https://gitlab.fi.muni.cz/formela/strategy-vizualizer.","1941-0506","","10.1109/TVCG.2024.3456306","Army Research Office(grant numbers:W911NF-21-1-0189); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10684132","Patrolling Games;Strategy;Graph;Heatmap;Visual Analysis","Games;Visualization;Schedules;Stochastic processes;Security;Atmospheric modeling;Airports","","","","33","IEEE","18 Sep 2024","","","IEEE","IEEE Journals"
"Interactive Design-of-Experiments: Optimizing a Cooling System","R. Splechtna; M. Behravan; M. Jelović; D. Gračanin; H. Hauser; K. Matković","VRVis Research Center in Vienna, Austria; Virginia Tech, Blacksburg, VA, USA; AVL-AST doo, Zagreb, Croatia; Virginia Tech, Blacksburg, VA, USA; University of Bergen, Norway; VRVis Research Center in Vienna, Austria",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","44","53","The optimization of cooling systems is important in many cases, for example for cabin and battery cooling in electric cars. Such an optimization is governed by multiple, conflicting objectives and it is performed across a multi-dimensional parameter space. The extent of the parameter space, the complexity of the non-linear model of the system, as well as the time needed per simulation run and factors that are not modeled in the simulation necessitate an iterative, semi-automatic approach. We present an interactive visual optimization approach, where the user works with a p-h diagram to steer an iterative, guided optimization process. A deep learning (DL) model provides estimates for parameters, given a target characterization of the system, while numerical simulation is used to compute system characteristics for an ensemble of parameter sets. Since the DL model only serves as an approximation of the inverse of the cooling system and since target characteristics can be chosen according to different, competing objectives, an iterative optimization process is realized, developing multiple sets of intermediate solutions, which are visually related to each other. The standard p-h diagram, integrated interactively in this approach, is complemented by a dual, also interactive visual representation of additional expressive measures representing the system characteristics. We show how the known four-points semantic of the p-h diagram meaningfully transfers to the dual data representation. When evaluating this approach in the automotive domain, we found that our solution helped with the overall comprehension of the cooling system and that it lead to a faster convergence during optimization.","1941-0506","","10.1109/TVCG.2024.3456356","COMET - Competence Centers for Excellent Technologies(grant numbers:879730); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10669776","Parameter space exploration","Cooling;Optimization;Refrigeration;Iterative methods;Computational modeling;Visualization;Numerical models","","1","","29","IEEE","9 Sep 2024","","","IEEE","IEEE Journals"
"DaedalusData: Exploration, Knowledge Externalization and Labeling of Particles in Medical Manufacturing — A Design Study","A. Wyss; G. Morgenshtern; A. Hirsch-Hüsler; J. Bernard","University of Zurich, Switzerland; University of Zurich & Digital Society Initiative Zurich, Switzerland; Roche, Switzerland; University of Zurich & Digital Society Initiative Zurich, Switzerland",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","54","64","In medical diagnostics of both early disease detection and routine patient care, particle-based contamination of in-vitro diagnostics consumables poses a significant threat to patients. Objective data-driven decision-making on the severity of contamination is key for reducing patient risk, while saving time and cost in quality assessment. Our collaborators introduced us to their quality control process, including particle data acquisition through image recognition, feature extraction, and attributes reflecting the production context of particles. Shortcomings in the current process are limitations in exploring thousands of images, data-driven decision making, and ineffective knowledge externalization. Following the design study methodology, our contributions are a characterization of the problem space and requirements, the development and validation of DaedalusData, a comprehensive discussion of our study's learnings, and a generalizable framework for knowledge externalization. DaedalusData is a visual analytics system that enables domain experts to explore particle contamination patterns, label particles in label alphabets, and externalize knowledge through semi-supervised label-informed data projections. The results of our case study and user study show high usability of DaedalusData and its efficient support of experts in generating comprehensive overviews of thousands of particles, labeling of large quantities of particles, and externalizing knowledge to augment the dataset further. Reflecting on our approach, we discuss insights on dataset augmentation via human knowledge externalization, and on the scalability and trade-offs that come with the adoption of this approach in practice.","1941-0506","","10.1109/TVCG.2024.3456329","Roche Diagnostics Global Operations Consumables; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10689477","Visual Analytics;Image Data;Knowledge Externalization;Data Labeling;Anomaly Detection;Medical Manufacturing","Labeling;Contamination;Production;Diseases;Decision making;Data augmentation;Quality assessment","","","","85","IEEE","23 Sep 2024","","","IEEE","IEEE Journals"
"DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer","A. Wentzel; S. Attia; X. Zhang; G. Canahuate; C. D. Fuller; G. E. Marai","University of Illinois Chicago, USA; MD Anderson Cancer Center, USA; University of Illinois Chicago, USA; University of Iowa, USA; MD Anderson Cancer Center, USA; University of Illinois Chicago, USA",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","65","75","Digital twin models are of high interest to Head and Neck Cancer (HNC) oncologists, who have to navigate a series of complex treatment decisions that weigh the efficacy of tumor control against toxicity and mortality risks. Evaluating individual risk profiles necessitates a deeper understanding of the interplay between different factors such as patient health, spatial tumor location and spread, and risk of subsequent toxicities that can not be adequately captured through simple heuristics. To support clinicians in better understanding tradeoffs when deciding on treatment courses, we developed DITTO, a digital-twin and visual computing system that allows clinicians to analyze detailed risk profiles for each patient, and decide on a treatment plan. DITTO relies on a sequential Deep Reinforcement Learning digital twin (DT) to deliver personalized risk of both long-term and short-term disease outcome and toxicity risk for HNC patients. Based on a participatory collaborative design alongside oncologists, we also implement several visual explainability methods to promote clinical trust and encourage healthy skepticism when using our system. We evaluate the efficacy of DITTO through quantitative evaluation of performance and case studies with qualitative feedback. Finally, we discuss design lessons for developing clinical visual XAI applications for clinical end users.","1941-0506","","10.1109/TVCG.2024.3456160","NIH(grant numbers:UG3-TR004501,NCI-R01-CA258827); NSF(grant numbers:CNS-2320261); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670532","Medicine;Machine Learning;Application Domains;High Dimensional data;Spatial Data;Activity Centered Design","Digital twins;Visualization;Computational modeling;Data visualization;Data models;Tumors;Chemotherapy","","","","76","IEEE","10 Sep 2024","","","IEEE","IEEE Journals"
"Objective Lagrangian Vortex Cores and their Visual Representations","T. Günther; H. Theisel","FAU Erlangen-Nürnberg, Germany; University of Magdeburg, Germany",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","76","85","The numerical extraction of vortex cores from time-dependent fluid flow attracted much attention over the past decades. A commonly agreed upon vortex definition remained elusive since a proper vortex core needs to satisfy two hard constraints: it must be objective and Lagrangian. Recent methods on objectivization met the first but not the second constraint, since there was no formal guarantee that the resulting vortex coreline is indeed a pathline of the fluid flow. In this paper, we propose the first vortex core definition that is both objective and Lagrangian. Our approach restricts observer motions to follow along pathlines, which reduces the degrees of freedoms: we only need to optimize for an observer rotation that makes the observed flow as steady as possible. This optimization succeeds along Lagrangian vortex corelines and will result in a non-zero time-partial everywhere else. By performing this optimization at each point of a spatial grid, we obtain a residual scalar field, which we call vortex deviation error. The local minima on the grid serve as seed points for a gradient descent optimization that delivers sub-voxel accurate corelines. The visualization of both 2D and 3D vortex cores is based on the separation of the movement of the vortex core and the swirling flow behavior around it. While the vortex core is represented by a pathline, the swirling motion around it is visualized by streamlines in the correct frame. We demonstrate the utility of the approach on several 2D and 3D time-dependent vector fields.","1941-0506","","10.1109/TVCG.2024.3456384","DFG(grant numbers:GU 945/3-1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670135","Flow visualization;vortices;objective methods","Three-dimensional displays;Vectors;Visualization;Observers;Tensors;Optimization;Spirals","","","","41","IEEE","9 Sep 2024","","","IEEE","IEEE Journals"
"Localized Evaluation for Constructing Discrete Vector Fields","T. Finken; J. Tierny; J. A. Levine","University of Arizona, USA; Sorbonne University, France; University of Arizona, USA",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","86","96","Topological abstractions offer a method to summarize the behavior of vector fields, but computing them robustly can be challenging due to numerical precision issues. One alternative is to represent the vector field using a discrete approach, which constructs a collection of pairs of simplices in the input mesh that satisfies criteria introduced by Forman's discrete Morse theory. While numerous approaches exist to compute pairs in the restricted case of the gradient of a scalar field, state-of-the-art algorithms for the general case of vector fields require expensive optimization procedures. This paper introduces a fast, novel approach for pairing simplices of two-dimensional, triangulated vector fields that do not vary in time. The key insight of our approach is that we can employ a local evaluation, inspired by the approach used to construct a discrete gradient field, where every simplex in a mesh is considered by no more than one of its vertices. Specifically, we observe that for any edge in the input mesh, we can uniquely assign an outward direction of flow. We can further expand this consistent notion of outward flow at each vertex, which corresponds to the concept of a downhill flow in the case of scalar fields. Working with outward flow enables a linear-time algorithm that processes the (outward) neighborhoods of each vertex one-by-one, similar to the approach used for scalar fields. We couple our approach to constructing discrete vector fields with a method to extract, simplify, and visualize topological features. Empirical results on analytic and simulation data demonstrate drastic improvements in running time, produce features similar to the current state-of-the-art, and show the application of simplification to large, complex flows.","1941-0506","","10.1109/TVCG.2024.3456355","U.S. Department of Energy, Office of Science(grant numbers:DE-SC-0019039); European Commission(grant numbers:ERC-2019-COG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670136","Flow visualization;discrete Morse theory;topological data analysis","Vectors;Topology;Stars;Visualization;Feature extraction;Data visualization;Data analysis","","","","67","IEEE","9 Sep 2024","","","IEEE","IEEE Journals"
"A Practical Solver for Scalar Data Topological Simplification","M. Kissi; M. Pont; J. A. Levine; J. Tierny","CNRS, France; CNRS, France; University of Arizona, USA; CNRS, France",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2024","2025","31","1","97","107","This paper presents a practical approach for the optimization of topological simplification, a central pre-processing step for the analysis and visualization of scalar data. Given an input scalar field $f$ and a set of “signal” persistence pairs to maintain, our approaches produces an output field $g$ that is close to $f$ and which optimizes (i) the cancellation of “non-signal” pairs, while (ii) preserving the “signal” pairs. In contrast to pre-existing simplification algorithms, our approach is not restricted to persistence pairs involving extrema and can thus address a larger class of topological features, in particular saddle pairs in three-dimensional scalar data. Our approach leverages recent generic persistence optimization frameworks and extends them with tailored accelerations specific to the problem of topological simplification. Extensive experiments report substantial accelerations over these frameworks, thereby making topological simplification optimization practical for real-life datasets. Our approach enables a direct visualization and analysis of the topologically simplified data, e.g., via isosurfaces of simplified topology (fewer components and handles). We apply our approach to the extraction of prominent filament structures in three-dimensional data. Specifically, we show that our pre-simplification of the data leads to practical improvements over standard topological techniques for removing filament loops. We also show how our approach can be used to repair genus defects in surface processing. Finally, we provide a C++ implementation for reproducibility purposes.","1941-0506","","10.1109/TVCG.2024.3456345","European Commission(grant numbers:ERC-2019-COG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10675436","Topological Data Analysis;scalar data;simplification;feature extraction","Optimization;Data mining;Surface treatment;Standards;Isosurfaces;Three-dimensional displays;Feature extraction","","","","93","IEEE","10 Sep 2024","","","IEEE","IEEE Journals"
