conf. year,journal,journal year,journal vol,title,doi,doi link
2018,C&G,2019,82,Bloodline: A system for the guided analysis of cardiac 4D PC-MRI data,10.1016/j.cag.2019.05.004,https://doi.org/10.1016/j.cag.2019.05.004
2018,C&G,2019,82,Ultrasound simulation with animated anatomical models and on-the-fly fusion with real images via path-tracing,10.1016/j.cag.2019.05.005,https://doi.org/10.1016/j.cag.2019.05.005
2018,C&G,2019,82,EvalViz – Surface visualization evaluation wizard for depth and shape perception tasks,10.1016/j.cag.2019.05.022,https://doi.org/10.1016/j.cag.2019.05.022
2018,C&G,2019,82,BrainTrawler: A visual analytics framework for iterative exploration of heterogeneous big brain data,10.1016/j.cag.2019.05.032,https://doi.org/10.1016/j.cag.2019.05.032
2018,C&G,2019,83,Intelligent interaction and uncertainty visualization for efficient drusen and retinal layer segmentation in Optical Coherence Tomography,10.1016/j.cag.2019.07.001,https://doi.org/10.1016/j.cag.2019.07.001
2018,C&G,2019,83,Visual analysis of regional myocardial motion anomalies in longitudinal studies,10.1016/j.cag.2019.07.004,https://doi.org/10.1016/j.cag.2019.07.004
2018,C&G,2019,83,Voxel-based edge bundling through direction-aware kernel smoothing,10.1016/j.cag.2019.06.008,https://doi.org/10.1016/j.cag.2019.06.008
2019,C&G,2020,90,Visual exploration of large normal mode spaces to study protein flexibility,10.1016/j.cag.2020.05.025,https://doi.org/10.1016/j.cag.2020.05.025
2019,C&G,2020,90,A survey of medical animations,10.1016/j.cag.2020.06.003,https://doi.org/10.1016/j.cag.2020.06.003
2019,C&G,2020,91,A visual approach to explainable computerized clinical decision support,10.1016/j.cag.2020.06.004,https://doi.org/10.1016/j.cag.2020.06.004
2019,C&G,2020,91,VAPOR: Visual Analytics for the Exploration of Pelvic Organ Variability in Radiotherapy,10.1016/j.cag.2020.07.001,https://doi.org/10.1016/j.cag.2020.07.001
2019,C&G,2020,91,Interactive framework for the visual exploration of colonic data,10.1016/j.cag.2020.06.005,https://doi.org/10.1016/j.cag.2020.06.005
