PCS-ID,Title,DOI,Year,DOI URL
1005,Visualization Vibes: The Socio-Indexical Function of Visualization Design,10.vis2025/1005,2025,https://doi.org/10.vis2025/1005
1006,Quantifying Visualization Vibes: Measuring Socio-Indexicality at Scale,10.vis2025/1006,2025,https://doi.org/10.vis2025/1006
1016,Data Augmentation for Visualization Design Knowledge Base,10.vis2025/1016,2025,https://doi.org/10.vis2025/1016
1017,Running with Data: a Survey of the Current Research and a Design Exploration of Future Immersive Visualisations,10.vis2025/1017,2025,https://doi.org/10.vis2025/1017
1019,Dataset-Adaptive Dimensionality Reduction,10.vis2025/1019,2025,https://doi.org/10.vis2025/1019
1023,MoE-INR: Implicit Neural Representation with Mixture-of-Experts for Time-Varying Volumetric Data Compression,10.vis2025/1023,2025,https://doi.org/10.vis2025/1023
1029,DataWink: Reusing and Adapting SVG-based Visualization Examples with Large Multimodal Models,10.vis2025/1029,2025,https://doi.org/10.vis2025/1029
1045,ProactiveVA: Proactive Visual Analytics with LLM-based UI Agent,10.vis2025/1045,2025,https://doi.org/10.vis2025/1045
1058,SceneLoom: Communicating Data with Scene Context,10.vis2025/1058,2025,https://doi.org/10.vis2025/1058
1066,InsightChaser: Enhancing Visual Reasoning of Sports Tactical Visualization with Visual-Text Linking,10.vis2025/1066,2025,https://doi.org/10.vis2025/1066
1075,Causality-based Visual Analytics of Sentiment Contagion in Social Media Topics,10.vis2025/1075,2025,https://doi.org/10.vis2025/1075
1078,GoFish: A Grammar of More Graphics!,10.vis2025/1078,2025,https://doi.org/10.vis2025/1078
1080,Design Space and Declarative Grammar for 3D Genomic Data Visualization,10.vis2025/1080,2025,https://doi.org/10.vis2025/1080
1083,VisGuard: Securing Visualization Dissemination through Tamper-Resistant Data Retrieval,10.vis2025/1083,2025,https://doi.org/10.vis2025/1083
1085,A Design Space for Multiscale Visualization,10.vis2025/1085,2025,https://doi.org/10.vis2025/1085
1100,GSCache: Real-Time Radiance Caching for Volume Path Tracing using 3D Gaussian Splatting,10.vis2025/1100,2025,https://doi.org/10.vis2025/1100
1143,Self-Supervised Continuous Colormap Recovery from a 2D Scalar Field Visualizations without a Legend,10.vis2025/1143,2025,https://doi.org/10.vis2025/1143
1157,Conch: Competitive Debate Analysis via Visualizing Clash Points and Hierarchical Strategies,10.vis2025/1157,2025,https://doi.org/10.vis2025/1157
1161,VolMoVis: Real-Time Volume Generation and Motion Visualization with Dynamic Tomographic Reconstruction,10.vis2025/1161,2025,https://doi.org/10.vis2025/1161
1168,"Data Speaks, But Who Gives It a Voice? Understanding Persuasive Strategies in Data-Driven News Articles",10.vis2025/1168,2025,https://doi.org/10.vis2025/1168
1170,Visual Extraction of Interaction Patterns Guided by Hierarchical Clustering and Process Mining,10.vis2025/1170,2025,https://doi.org/10.vis2025/1170
1172,Locally Adapted Reference Frame Fields using Moving Least Squares,10.vis2025/1172,2025,https://doi.org/10.vis2025/1172
1175,Mapping What I Feel: Understanding Affective Geovisualization Design Through the Lens of People-Place Relationships,10.vis2025/1175,2025,https://doi.org/10.vis2025/1175
1204,BDIViz: An Interactive Visualization System for Biomedical Schema Matching with LLM-Powered Validation,10.vis2025/1204,2025,https://doi.org/10.vis2025/1204
1206,AortaDiff: Volume-Guided Conditional Diffusion Models for Multi-Branch Aortic Surface Generation,10.vis2025/1206,2025,https://doi.org/10.vis2025/1206
1207,"Qualitative Study for LLM-assisted Design Study Process: Strategies, Challenges, and Roles",10.vis2025/1207,2025,https://doi.org/10.vis2025/1207
1247,TrajLens: Visual Analysis for Constructing Cell Developmental Trajectories in Cross-Sample Exploration,10.vis2025/1247,2025,https://doi.org/10.vis2025/1247
1249,Unveiling the Visual Rhetoric of Persuasive Cartography: A Case Study of the Design of Octopus Maps,10.vis2025/1249,2025,https://doi.org/10.vis2025/1249
1250,Visualizing Trust: How Chart Embellishments Influence Perceptions of Credibility,10.vis2025/1250,2025,https://doi.org/10.vis2025/1250
1254,ConceptViz: A Visual Analytics Approach for Exploring Concepts in Large Language Models,10.vis2025/1254,2025,https://doi.org/10.vis2025/1254
1255,Designing for Disclosure in Data Visualizations,10.vis2025/1255,2025,https://doi.org/10.vis2025/1255
1257,Investigating the Effects of Augmented Reality on Message Credibility When Visualizing Environmental Impacts,10.vis2025/1257,2025,https://doi.org/10.vis2025/1257
1260,Eye of the Beholder: Towards Measuring Visualization Complexity,10.vis2025/1260,2025,https://doi.org/10.vis2025/1260
1274,TexGS-VolVis: Expressive Scene Editing for Volume Visualization via Textured Gaussian Splatting,10.vis2025/1274,2025,https://doi.org/10.vis2025/1274
1291,TrialCompass: Visual Analytics for Enhancing the Eligibility Criteria Design of Clinical Trials,10.vis2025/1291,2025,https://doi.org/10.vis2025/1291
1313,Mosaic Selections: Managing and Optimizing User Selections for Scalable Data Visualization Systems,10.vis2025/1313,2025,https://doi.org/10.vis2025/1313
1335,Calli-VA: A Visual Analytics System for Analyzing and Comparing Chinese Calligraphic Styles,10.vis2025/1335,2025,https://doi.org/10.vis2025/1335
1345,How do Data Journalists Design Maps to Tell Stories?,10.vis2025/1345,2025,https://doi.org/10.vis2025/1345
