PCS-ID,Title,Year,DOI,DOI URL
1004,NEXO: Adaptive Visualization for Comparative Exploration of Knowledge Graphs with Natural Language Interaction,2026,10.vis2026/1004,https://doi.org/10.vis2026/1004
1006,EvoInsight: A Conversational Framework for End-to-End Generation of Topic-Oriented Videos from Large-Scale Texts,2026,10.vis2026/1006,https://doi.org/10.vis2026/1006
1018,Structuring Line Ensembles with Path-Integrated Fidelity and Structural Inconsistency Fields,2026,10.vis2026/1018,https://doi.org/10.vis2026/1018
1020,Fixation-Related Potentials as Implicit Markers of Task Relevance in Data Visualization,2026,10.vis2026/1020,https://doi.org/10.vis2026/1020
1026,Conveying Causality through Visualization: A Survey of Visual Causal Inference,2026,10.vis2026/1026,https://doi.org/10.vis2026/1026
1032,Stop Misusing t-SNE and UMAP for Visual Analytics,2026,10.vis2026/1032,https://doi.org/10.vis2026/1032
1034,Confirmation Bias Shapes Outlier Identification and Removal in Data Cleaning with Scatterplots,2026,10.vis2026/1034,https://doi.org/10.vis2026/1034
1043,EnsembleNGP: Exploring Time-Varying Ensemble Data via Parameter and Spatial Space Decomposition,2026,10.vis2026/1043,https://doi.org/10.vis2026/1043
1051,Visualization Autocomplete: Visualization Authoring via Stepwise Design Recommendations,2026,10.vis2026/1051,https://doi.org/10.vis2026/1051
1059,VisCanvas: A Node-Based Interface for Exploratory Visualization Authoring with LLMs,2026,10.vis2026/1059,https://doi.org/10.vis2026/1059
1060,Multimodal Data Comprehension: Understanding How Visual-Textual Chains of Information Influence Data Interpretation,2026,10.vis2026/1060,https://doi.org/10.vis2026/1060
1062,EVOLVE: Efficient Learned Volume Compression with Variable-Rate Encoding on a Cross-Domain Database,2026,10.vis2026/1062,https://doi.org/10.vis2026/1062
1067,PolarWeather: Visual Analysis of Multi-Platform Polarization Dynamics on Social Media,2026,10.vis2026/1067,https://doi.org/10.vis2026/1067
1085,UnitoPia: Interactive Construction of Pictorial Unit Visualization using a Contain-and-Fill Model,2026,10.vis2026/1085,https://doi.org/10.vis2026/1085
1091,SMG-Vis: Supporting Judgment in Multi-Target Social Media Analysis through Group Exploration and Stance Reasoning,2026,10.vis2026/1091,https://doi.org/10.vis2026/1091
1111,ECoNGS: Efficient Compressive Neural Gaussian Splats for Volume Visualization,2026,10.vis2026/1111,https://doi.org/10.vis2026/1111
1129,Designing Within the Lines: Practitioners’ Perspectives and Visualisation Tool Evaluation in the Arabic Context,2026,10.vis2026/1129,https://doi.org/10.vis2026/1129
1130,DebrisTracer: Reliable Tracking in Hypervelocity Impact Fast Imaging,2026,10.vis2026/1130,https://doi.org/10.vis2026/1130
1132,PROVA-GT: PROvenance-centered Visual Analytics for Grounded Theory,2026,10.vis2026/1132,https://doi.org/10.vis2026/1132
1169,HiLSVA: Design and Evaluation of a Human-in-the-Loop Agentic System for Scientific Visualization,2026,10.vis2026/1169,https://doi.org/10.vis2026/1169
1170,BackdoorScope: Visual Analytics of Internal Behaviors in LLMs under Backdoor Attacks,2026,10.vis2026/1170,https://doi.org/10.vis2026/1170
1171,Revisiting Channel Effectiveness: A Multi-Dimensional Evaluation with Primitive Visual Stimuli,2026,10.vis2026/1171,https://doi.org/10.vis2026/1171
1173,Colour Blinded by the Noise,2026,10.vis2026/1173,https://doi.org/10.vis2026/1173
1177,VisPuzzle: Task-Aware Composite Visualization Construction,2026,10.vis2026/1177,https://doi.org/10.vis2026/1177
1181,Who's That Player?: Externalizing Query Interpretation in Spoken XR Sports Interaction,2026,10.vis2026/1181,https://doi.org/10.vis2026/1181
1183,ResonaVis: Visualizing Interactive Music Data to Support Reflective Music Composition for Therapeutic Contexts,2026,10.vis2026/1183,https://doi.org/10.vis2026/1183
1186,PaintEcho: Bringing Paintings to Photos through Cross-domain Visual Exploration,2026,10.vis2026/1186,https://doi.org/10.vis2026/1186
1187,NeuroBreak: Unveil Internal Jailbreak Mechanisms in Large Language Models,2026,10.vis2026/1187,https://doi.org/10.vis2026/1187
1195,Meandering Photo Lines: Fluid Multiscale Exploration of Photographic Archives,2026,10.vis2026/1195,https://doi.org/10.vis2026/1195
1197,VQ-ANR: Attention Neural Representation with Vector Quantization for Time-Varying Ensemble Data Exploration,2026,10.vis2026/1197,https://doi.org/10.vis2026/1197
1230,"Beyond the Good, the Bad, and the Ugly: Colormap Assessment through Data-Aware Perceptual Metric",2026,10.vis2026/1230,https://doi.org/10.vis2026/1230
1234,Visual Decoding Operators: Towards a Compositional Theory of Visualization Perception,2026,10.vis2026/1234,https://doi.org/10.vis2026/1234
1242,DeepConnect: A Visual Analytics System for Bridging Interdisciplinary Research Collaborations,2026,10.vis2026/1242,https://doi.org/10.vis2026/1242
1269,LatentFlow: Visual Analytics for Latent Space Analysis in Molecular Graph Neural Networks,2026,10.vis2026/1269,https://doi.org/10.vis2026/1269
1283,SciVisAgentBench: A Benchmark for Evaluating Scientific Data Analysis and Visualization Agents,2026,10.vis2026/1283,https://doi.org/10.vis2026/1283
1286,When Data Offers No Right Answer: Designing Failure in Serious Data Visualization Games,2026,10.vis2026/1286,https://doi.org/10.vis2026/1286
1291,ManyFold: A Design Exploration of Data Visualization on Foldable Mobile Devices,2026,10.vis2026/1291,https://doi.org/10.vis2026/1291
1301,What’s Your VATI? Understanding Attraction Profiles for Data Visualization on Social Media,2026,10.vis2026/1301,https://doi.org/10.vis2026/1301
1306,VACP: Visual Analytics Context Protocol,2026,10.vis2026/1306,https://doi.org/10.vis2026/1306
1307,LayoutAgent: LLM-Guided Multi-Objective Optimization for Graph Layout Generation,2026,10.vis2026/1307,https://doi.org/10.vis2026/1307
1313,Human-Guided Causal Knowledge Injection for Virtual Cells,2026,10.vis2026/1313,https://doi.org/10.vis2026/1313
1321,GeoNarrative: Transforming geospatial textual data into narrative storytelling visualization,2026,10.vis2026/1321,https://doi.org/10.vis2026/1321
1326,SIGMA: A Spatial Interaction Grammar for Multi-Display Visual Analytics,2026,10.vis2026/1326,https://doi.org/10.vis2026/1326
1328,Should We Dangle a Carrot? The Effect of Performance-based Incentives in Visualization Experiments,2026,10.vis2026/1328,https://doi.org/10.vis2026/1328
1333,TailVis: Expressive Visualization Refinement Preserving Data-Binding Integrity,2026,10.vis2026/1333,https://doi.org/10.vis2026/1333
1352,Exposing the Unsaid: Visualizing Hidden LLM Bias through Stochastic Path Aggregation,2026,10.vis2026/1352,https://doi.org/10.vis2026/1352
1371,Charting the Immersive Self: A Scoping Review of Immersive Personal Visualisation,2026,10.vis2026/1371,https://doi.org/10.vis2026/1371
1374,The CAPED Framework: Characterizing User Skills in Chart Authoring through the Lens of Tasks and Tools,2026,10.vis2026/1374,https://doi.org/10.vis2026/1374
1382,Fact-Check Your Information (FYI): A Design Probe to Understand How People Actually Fact-Check Data-Driven Articles,2026,10.vis2026/1382,https://doi.org/10.vis2026/1382
1389,Counterbalance: A Declarative Tool for Privacy-Preserving Statistical Chart Authoring based on Differential Privacy,2026,10.vis2026/1389,https://doi.org/10.vis2026/1389
1393,Rotation-Minimizing Space Deformations for the Analysis of Lagrangian Vortex Corelines,2026,10.vis2026/1393,https://doi.org/10.vis2026/1393
1394,Chart2SVG: Editable SVG Generation from Raster Chart Images,2026,10.vis2026/1394,https://doi.org/10.vis2026/1394
1414,MV-Bench: Benchmarking Multimodal Large Language Models for Coordinated Multi-View Interface Construction,2026,10.vis2026/1414,https://doi.org/10.vis2026/1414
1417,Divided Attention Amplifies the Importance of Expectation-Aligned Visualization Design,2026,10.vis2026/1417,https://doi.org/10.vis2026/1417
1418,ZipLine: Visual Analysis of Multivariate Graphs with Predicate Logic,2026,10.vis2026/1418,https://doi.org/10.vis2026/1418
1419,Less Is More Reflective: Intervention Intensity and Metacognitive Disruption in Visual Analytics,2026,10.vis2026/1419,https://doi.org/10.vis2026/1419
1424,A Generic Lagrangian-Hamiltonian Framework for Optimal Reference Frames in Unsteady Flow,2026,10.vis2026/1424,https://doi.org/10.vis2026/1424
1427,Visualizing High-Dimensional Graph Embeddings via Informed Multi-View Projections,2026,10.vis2026/1427,https://doi.org/10.vis2026/1427
1429,What Do Visualization Instructors Want Students to Learn? Introducing a Concept Inventory for Visualization Design,2026,10.vis2026/1429,https://doi.org/10.vis2026/1429
1437,PoseForge: Editable Pose Analytics for AI-Assisted Sports Coaching,2026,10.vis2026/1437,https://doi.org/10.vis2026/1437
1442,Beyond Quantification of Neighborhoods: Perception-Driven Quality Measures for Dimensionality Reduction,2026,10.vis2026/1442,https://doi.org/10.vis2026/1442
1454,CUBE-ism: An Interactive Visual Analytics System for Real-Time Darknet Traffic Triage,2026,10.vis2026/1454,https://doi.org/10.vis2026/1454
1458,"“Listening to the City, Seeing the Planet”: Integrating Environmental Complaints and AlphaEarth for Multi-Scale Visual Analytics",2026,10.vis2026/1458,https://doi.org/10.vis2026/1458
1461,HeedVision: Attention Awareness in Collaborative Immersive Analytics Environments,2026,10.vis2026/1461,https://doi.org/10.vis2026/1461
1467,QueerTravel: Visualizing Social Safety Enriched with Community Experiences to Support Travel Decisions,2026,10.vis2026/1467,https://doi.org/10.vis2026/1467
1468,"ProVega: A Grammar to Ease the Prototyping, Creation, and Reproducibility of Progressive Data Analysis and Visualization Solutions",2026,10.vis2026/1468,https://doi.org/10.vis2026/1468
1474,Representational Fidelity in Didactic Visualization: Toward a Multidimensional Design Space,2026,10.vis2026/1474,https://doi.org/10.vis2026/1474
